fieldname;short_code;content
i94cnty ; 720 ; INVALID: CANTON AND ENDERBURY ISLS
i94cnty ; 106 ; INVALID: CZECHOSLOVAKIA
i94cnty ; 739 ; INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)
i94cnty ; 394 ; INVALID: FRENCH SOUTHERN AND ANTARCTIC
i94cnty ; 501 ; INVALID: GREENLAND
i94cnty ; 404 ; INVALID: GUAM
i94cnty ; 730 ; INVALID: INTERNATIONAL WATERS
i94cnty ; 731 ; INVALID: JOHNSON ISLAND
i94cnty ; 471 ; INVALID: MARIANA ISLANDS, NORTHERN
i94cnty ; 737 ; INVALID: MIDWAY ISLANDS
i94cnty ; 753 ; INVALID: MINOR OUTLYING ISLANDS - USA
i94cnty ; 740 ; INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)
i94cnty ; 710 ; INVALID: NON-QUOTA IMMIGRANT
i94cnty ; 505 ; INVALID: PUERTO RICO
i94cnty ; 0 ; INVALID: STATELESS
i94cnty ; 705 ; INVALID: STATELESS
i94cnty ; 583 ; INVALID: UNITED STATES
i94cnty ; 407 ; INVALID: UNITED STATES
i94cnty ; 999 ; INVALID: UNKNOWN
i94cnty ; 239 ; INVALID: UNKNOWN COUNTRY
i94cnty ; 134 ; INVALID: USSR
i94cnty ; 506 ; INVALID: U.S. VIRGIN ISLANDS
i94cnty ; 755 ; INVALID: WAKE ISLAND
i94cnty ; 311 ; Collapsed Tanzania (should not show)
i94cnty ; 741 ; Collapsed Curacao (should not show)
i94cnty ; 54 ; No Country Code (54)
i94cnty ; 100 ; No Country Code (100)
i94cnty ; 187 ; No Country Code (187)
i94cnty ; 190 ; No Country Code (190)
i94cnty ; 200 ; No Country Code (200)
i94cnty ; 219 ; No Country Code (219)
i94cnty ; 238 ; No Country Code (238)
i94cnty ; 277 ; No Country Code (277)
i94cnty ; 293 ; No Country Code (293)
i94cnty ; 300 ; No Country Code (300)
i94cnty ; 319 ; No Country Code (319)
i94cnty ; 365 ; No Country Code (365)
i94cnty ; 395 ; No Country Code (395)
i94cnty ; 400 ; No Country Code (400)
i94cnty ; 485 ; No Country Code (485)
i94cnty ; 503 ; No Country Code (503)
i94cnty ; 589 ; No Country Code (589)
i94cnty ; 592 ; No Country Code (592)
i94cnty ; 791 ; No Country Code (791)
i94cnty ; 849 ; No Country Code (849)
i94cnty ; 914 ; No Country Code (914)
i94cnty ; 944 ; No Country Code (944)
i94cnty ; 996 ; No Country Code (996)' ;
$i94prt ; ALC ; ALCAN, AK             
$i94prt ; ANC ; ANCHORAGE, AK         
$i94prt ; BAR ; BAKER AAF - BAKER ISLAND, AK
$i94prt ; DAC ; DALTONS CACHE, AK     
$i94prt ; PIZ ; DEW STATION PT LAY DEW, AK
$i94prt ; DTH ; DUTCH HARBOR, AK      
$i94prt ; EGL ; EAGLE, AK             
$i94prt ; FRB ; FAIRBANKS, AK         
$i94prt ; HOM ; HOMER, AK             
$i94prt ; HYD ; HYDER, AK             
$i94prt ; JUN ; JUNEAU, AK            
$i94prt ; 5KE ; KETCHIKAN, AK
$i94prt ; KET ; KETCHIKAN, AK         
$i94prt ; MOS ; MOSES POINT INTERMEDIATE, AK
$i94prt ; NIK ; NIKISKI, AK           
$i94prt ; NOM ; NOM, AK               
$i94prt ; PKC ; POKER CREEK, AK       
$i94prt ; ORI ; PORT LIONS SPB, AK
$i94prt ; SKA ; SKAGWAY, AK           
$i94prt ; SNP ; ST. PAUL ISLAND, AK
$i94prt ; TKI ; TOKEEN, AK
$i94prt ; WRA ; WRANGELL, AK          
$i94prt ; HSV ; MADISON COUNTY - HUNTSVILLE, AL
$i94prt ; MOB ; MOBILE, AL            
$i94prt ; LIA ; LITTLE ROCK, AR (BPS)
$i94prt ; ROG ; ROGERS ARPT, AR
$i94prt ; DOU ; DOUGLAS, AZ           
$i94prt ; LUK ; LUKEVILLE, AZ         
$i94prt ; MAP ; MARIPOSA AZ           
$i94prt ; NAC ; NACO, AZ              
$i94prt ; NOG ; NOGALES, AZ           
$i94prt ; PHO ; PHOENIX, AZ           
$i94prt ; POR ; PORTAL, AZ
$i94prt ; SLU ; SAN LUIS, AZ          
$i94prt ; SAS ; SASABE, AZ            
$i94prt ; TUC ; TUCSON, AZ            
$i94prt ; YUI ; YUMA, AZ              
$i94prt ; AND ; ANDRADE, CA           
$i94prt ; BUR ; BURBANK, CA
$i94prt ; CAL ; CALEXICO, CA          
$i94prt ; CAO ; CAMPO, CA             
$i94prt ; FRE ; FRESNO, CA            
$i94prt ; ICP ; IMPERIAL COUNTY, CA   
$i94prt ; LNB ; LONG BEACH, CA         
$i94prt ; LOS ; LOS ANGELES, CA       
$i94prt ; BFL ; MEADOWS FIELD - BAKERSFIELD, CA
$i94prt ; OAK ; OAKLAND, CA 
$i94prt ; ONT ; ONTARIO, CA
$i94prt ; OTM ; OTAY MESA, CA          
$i94prt ; BLT ; PACIFIC, HWY. STATION, CA 
$i94prt ; PSP ; PALM SPRINGS, CA
$i94prt ; SAC ; SACRAMENTO, CA        
$i94prt ; SLS ; SALINAS, CA (BPS)
$i94prt ; SDP ; SAN DIEGO, CA
$i94prt ; SFR ; SAN FRANCISCO, CA     
$i94prt ; SNJ ; SAN JOSE, CA          
$i94prt ; SLO ; SAN LUIS OBISPO, CA   
$i94prt ; SLI ; SAN LUIS OBISPO, CA (BPS)
$i94prt ; SPC ; SAN PEDRO, CA         
$i94prt ; SYS ; SAN YSIDRO, CA        
$i94prt ; SAA ; SANTA ANA, CA         
$i94prt ; STO ; STOCKTON, CA (BPS)
$i94prt ; TEC ; TECATE, CA            
$i94prt ; TRV ; TRAVIS-AFB, CA        
$i94prt ; APA ; ARAPAHOE COUNTY, CO
$i94prt ; ASE ; ASPEN, CO #ARPT
$i94prt ; COS ; COLORADO SPRINGS, CO
$i94prt ; DEN ; DENVER, CO            
$i94prt ; DRO ; LA PLATA - DURANGO, CO
$i94prt ; BDL ; BRADLEY INTERNATIONAL, CT
$i94prt ; BGC ; BRIDGEPORT, CT        
$i94prt ; GRT ; GROTON, CT            
$i94prt ; HAR ; HARTFORD, CT          
$i94prt ; NWH ; NEW HAVEN, CT         
$i94prt ; NWL ; NEW LONDON, CT        
$i94prt ; TST ; NEWINGTON DATA CENTER TEST, CT
$i94prt ; WAS ; WASHINGTON DC         
$i94prt ; DOV ; DOVER AFB, DE
$i94prt ; DVD ; DOVER-AFB, DE         
$i94prt ; WLL ; WILMINGTON, DE        
$i94prt ; BOC ; BOCAGRANDE, FL        
$i94prt ; SRQ ; BRADENTON - SARASOTA, FL
$i94prt ; CAN ; CAPE CANAVERAL, FL    
$i94prt ; DAB ; DAYTONA BEACH INTERNATIONAL, FL
$i94prt ; FRN ; FERNANDINA, FL        
$i94prt ; FTL ; FORT LAUDERDALE, FL   
$i94prt ; FMY ; FORT MYERS, FL        
$i94prt ; FPF ; FORT PIERCE, FL       
$i94prt ; HUR ; HURLBURT FIELD, FL
$i94prt ; GNV ; J R ALISON MUNI - GAINESVILLE, FL
$i94prt ; JAC ; JACKSONVILLE, FL      
$i94prt ; KEY ; KEY WEST, FL          
$i94prt ; LEE ; LEESBURG MUNICIPAL AIRPORT, FL
$i94prt ; MLB ; MELBOURNE, FL
$i94prt ; MIA ; MIAMI, FL             
$i94prt ; APF ; NAPLES, FL #ARPT
$i94prt ; OPF ; OPA LOCKA, FL
$i94prt ; ORL ; ORLANDO, FL           
$i94prt ; PAN ; PANAMA CITY, FL       
$i94prt ; PEN ; PENSACOLA, FL         
$i94prt ; PCF ; PORT CANAVERAL, FL    
$i94prt ; PEV ; PORT EVERGLADES, FL   
$i94prt ; PSJ ; PORT ST JOE, FL       
$i94prt ; SFB ; SANFORD, FL           
$i94prt ; SGJ ; ST AUGUSTINE ARPT, FL
$i94prt ; SAU ; ST AUGUSTINE, FL      
$i94prt ; FPR ; ST LUCIE COUNTY, FL
$i94prt ; SPE ; ST PETERSBURG, FL     
$i94prt ; TAM ; TAMPA, FL             
$i94prt ; WPB ; WEST PALM BEACH, FL   
$i94prt ; ATL ; ATLANTA, GA           
$i94prt ; BRU ; BRUNSWICK, GA         
$i94prt ; AGS ; BUSH FIELD - AUGUSTA, GA
$i94prt ; SAV ; SAVANNAH, GA          
$i94prt ; AGA ; AGANA, GU             
$i94prt ; HHW ; HONOLULU, HI          
$i94prt ; OGG ; KAHULUI - MAUI, HI
$i94prt ; KOA ; KEAHOLE-KONA, HI      
$i94prt ; LIH ; LIHUE, HI             
$i94prt ; CID ; CEDAR RAPIDS/IOWA CITY, IA
$i94prt ; DSM ; DES MOINES, IA
$i94prt ; BOI ; AIR TERM. (GOWEN FLD) BOISE, ID
$i94prt ; EPI ; EASTPORT, ID          
$i94prt ; IDA ; FANNING FIELD - IDAHO FALLS, ID
$i94prt ; PTL ; PORTHILL, ID          
$i94prt ; SPI ; CAPITAL - SPRINGFIELD, IL
$i94prt ; CHI ; CHICAGO, IL           
$i94prt ; DPA ; DUPAGE COUNTY, IL
$i94prt ; PIA ; GREATER PEORIA, IL
$i94prt ; RFD ; GREATER ROCKFORD, IL
$i94prt ; UGN ; MEMORIAL - WAUKEGAN, IL
$i94prt ; GAR ; GARY, IN              
$i94prt ; HMM ; HAMMOND, IN           
$i94prt ; INP ; INDIANAPOLIS, IN      
$i94prt ; MRL ; MERRILLVILLE, IN      
$i94prt ; SBN ; SOUTH BEND, IN
$i94prt ; ICT ; MID-CONTINENT - WITCHITA, KS
$i94prt ; LEX ; BLUE GRASS - LEXINGTON, KY
$i94prt ; LOU ; LOUISVILLE, KY        
$i94prt ; BTN ; BATON ROUGE, LA       
$i94prt ; LKC ; LAKE CHARLES, LA      
$i94prt ; LAK ; LAKE CHARLES, LA (BPS)
$i94prt ; MLU ; MONROE, LA
$i94prt ; MGC ; MORGAN CITY, LA       
$i94prt ; NOL ; NEW ORLEANS, LA       
$i94prt ; BOS ; BOSTON, MA            
$i94prt ; GLO ; GLOUCESTER, MA        
$i94prt ; BED ; HANSCOM FIELD - BEDFORD, MA
$i94prt ; LYN ; LYNDEN, WA            
$i94prt ; ADW ; ANDREWS AFB, MD
$i94prt ; BAL ; BALTIMORE, MD         
$i94prt ; MKG ; MUSKEGON, MD
$i94prt ; PAX ; PATUXENT RIVER, MD    
$i94prt ; BGM ; BANGOR, ME            
$i94prt ; BOO ; BOOTHBAY HARBOR, ME   
$i94prt ; BWM ; BRIDGEWATER, ME       
$i94prt ; BCK ; BUCKPORT, ME          
$i94prt ; CLS ; CALAIS, ME   
$i94prt ; CRB ; CARIBOU, ME           
$i94prt ; COB ; COBURN GORE, ME       
$i94prt ; EST ; EASTCOURT, ME         
$i94prt ; EPT ; EASTPORT MUNICIPAL, ME
$i94prt ; EPM ; EASTPORT, ME          
$i94prt ; FOR ; FOREST CITY, ME       
$i94prt ; FTF ; FORT FAIRFIELD, ME    
$i94prt ; FTK ; FORT KENT, ME         
$i94prt ; HML ; HAMIIN, ME            
$i94prt ; HTM ; HOULTON, ME           
$i94prt ; JKM ; JACKMAN, ME           
$i94prt ; KAL ; KALISPEL, MT          
$i94prt ; LIM ; LIMESTONE, ME         
$i94prt ; LUB ; LUBEC, ME             
$i94prt ; MAD ; MADAWASKA, ME         
$i94prt ; POM ; PORTLAND, ME          
$i94prt ; RGM ; RANGELEY, ME (BPS)
$i94prt ; SBR ; SOUTH BREWER, ME      
$i94prt ; SRL ; ST AURELIE, ME        
$i94prt ; SPA ; ST PAMPILE, ME        
$i94prt ; VNB ; VAN BUREN, ME         
$i94prt ; VCB ; VANCEBORO, ME         
$i94prt ; AGN ; ALGONAC, MI           
$i94prt ; ALP ; ALPENA, MI            
$i94prt ; BCY ; BAY CITY, MI          
$i94prt ; DET ; DETROIT, MI           
$i94prt ; GRP ; GRAND RAPIDS, MI
$i94prt ; GRO ; GROSSE ISLE, MI       
$i94prt ; ISL ; ISLE ROYALE, MI       
$i94prt ; MRC ; MARINE CITY, MI       
$i94prt ; MRY ; MARYSVILLE, MI        
$i94prt ; PTK ; OAKLAND COUNTY - PONTIAC, MI
$i94prt ; PHU ; PORT HURON, MI        
$i94prt ; RBT ; ROBERTS LANDING, MI   
$i94prt ; SAG ; SAGINAW, MI           
$i94prt ; SSM ; SAULT STE. MARIE, MI  
$i94prt ; SCL ; ST CLAIR, MI          
$i94prt ; YIP ; WILLOW RUN - YPSILANTI, MI
$i94prt ; BAU ; BAUDETTE, MN          
$i94prt ; CAR ; CARIBOU MUNICIPAL AIRPORT, MN
$i94prt ; GTF ; Collapsed into INT, MN
$i94prt ; INL ; Collapsed into INT, MN
$i94prt ; CRA ; CRANE LAKE, MN        
$i94prt ; MIC ; CRYSTAL MUNICIPAL AIRPORT, MN
$i94prt ; DUL ; DULUTH, MN            
$i94prt ; ELY ; ELY, MN               
$i94prt ; GPM ; GRAND PORTAGE, MN     
$i94prt ; SVC ; GRANT COUNTY - SILVER CITY, MN
$i94prt ; INT ; INT''L FALLS, MN      
$i94prt ; LAN ; LANCASTER, MN         
$i94prt ; MSP ; MINN./ST PAUL, MN     
$i94prt ; LIN ; NORTHERN SVC CENTER, MN   
$i94prt ; NOY ; NOYES, MN             
$i94prt ; PIN ; PINE CREEK, MN        
$i94prt ; 48Y ; PINECREEK BORDER ARPT, MN
$i94prt ; RAN ; RAINER, MN            
$i94prt ; RST ; ROCHESTER, MN
$i94prt ; ROS ; ROSEAU, MN            
$i94prt ; SPM ; ST PAUL, MN           
$i94prt ; WSB ; WARROAD INTL, SPB, MN
$i94prt ; WAR ; WARROAD, MN           
$i94prt ; KAN ; KANSAS CITY, MO       
$i94prt ; SGF ; SPRINGFIELD-BRANSON, MO
$i94prt ; STL ; ST LOUIS, MO          
$i94prt ; WHI ; WHITETAIL, MT         
$i94prt ; WHM ; WILD HORSE, MT        
$i94prt ; GPT ; BILOXI REGIONAL, MS
$i94prt ; GTR ; GOLDEN TRIANGLE LOWNDES CNTY, MS
$i94prt ; GUL ; GULFPORT, MS          
$i94prt ; PAS ; PASCAGOULA, MS        
$i94prt ; JAN ; THOMPSON FIELD - JACKSON, MS
$i94prt ; BIL ; BILLINGS, MT          
$i94prt ; BTM ; BUTTE, MT             
$i94prt ; CHF ; CHIEF MT, MT          
$i94prt ; CTB ; CUT BANK MUNICIPAL, MT
$i94prt ; CUT ; CUT BANK, MT          
$i94prt ; DLB ; DEL BONITA, MT        
